#ncbi_taxid	cluster_id	protein_id
1110504	CL:0	1110504.MAGb_5410
1110504	CL:0	1110504.MAGb_5420
1110504	CL:0	1110504.MAGb_5430
1110504	CL:0	1110504.MAGb_5440
1110504	CL:0	1110504.MAGb_5450
1110504	CL:0	1110504.MAGb_5460
1110504	CL:0	1110504.MAGb_5470
1110504	CL:0	1110504.MAGb_5480
1110504	CL:0	1110504.MAGb_5490
1110504	CL:0	1110504.MAGb_5500
1110504	CL:0	1110504.MAGb_5510
1110504	CL:0	1110504.MAGb_5520
1110504	CL:0	1110504.MAGb_5530
1110504	CL:0	1110504.MAGb_5540
1110504	CL:0	1110504.MAGb_5550
1110504	CL:0	1110504.MAGb_5560
1110504	CL:0	1110504.MAGb_5570
1110504	CL:0	1110504.MAGb_5580
1110504	CL:0	1110504.MAGb_5590
1110504	CL:0	1110504.MAGb_5600
1110504	CL:0	1110504.MAGb_5610
1110504	CL:0	1110504.MAGb_5620
1110504	CL:0	1110504.MAGb_5630
1110504	CL:0	1110504.MAGb_5640
1110504	CL:0	1110504.MAGb_5650
1110504	CL:0	1110504.MAGb_5660
1110504	CL:0	1110504.MAGb_5670
1110504	CL:0	1110504.MAGb_5680
1110504	CL:0	1110504.MAGb_5690
1110504	CL:0	1110504.MAGb_5700
1110504	CL:0	1110504.MAGb_5710
1110504	CL:0	1110504.MAGb_5720
1110504	CL:0	1110504.MAGb_5730
1110504	CL:0	1110504.MAGb_5740
1110504	CL:0	1110504.MAGb_5750
1110504	CL:0	1110504.MAGb_5760
1110504	CL:0	1110504.MAGb_5770
1110504	CL:0	1110504.MAGb_5780
1110504	CL:0	1110504.MAGb_5790
1110504	CL:0	1110504.MAGb_5800
1110504	CL:0	1110504.MAGb_5810
1110504	CL:0	1110504.MAGb_5820
1110504	CL:0	1110504.MAGb_5830
1110504	CL:0	1110504.MAGb_5840
1110504	CL:0	1110504.MAGb_5850
1110504	CL:0	1110504.MAGb_5860
1110504	CL:0	1110504.MAGb_5870
1110504	CL:0	1110504.MAGb_5880
1110504	CL:0	1110504.MAGb_5890
1110504	CL:0	1110504.MAGb_5900
1110504	CL:0	1110504.MAGb_5910
1110504	CL:0	1110504.MAGb_5920
1110504	CL:0	1110504.MAGb_5930
1110504	CL:0	1110504.MAGb_5990
1110504	CL:0	1110504.MAGb_6000
1110504	CL:0	1110504.MAGb_6010
1110504	CL:0	1110504.MAGb_6020
1110504	CL:0	1110504.MAGb_6030
1110504	CL:0	1110504.MAGb_6080
1110504	CL:0	1110504.MAGb_6090
1110504	CL:0	1110504.MAGb_6100
1110504	CL:0	1110504.MAGb_6110
1110504	CL:0	1110504.MAGb_6120
1110504	CL:0	1110504.MAGb_6130
1110504	CL:0	1110504.MAGb_6140
1110504	CL:0	1110504.MAGb_6150
1110504	CL:0	1110504.MAGb_6160
1110504	CL:0	1110504.MAGb_6170
